# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.3000,-13.9500,0.7500,0.7500
-0.3000,-13.9000,0.7500,0.7500
-0.3000,-13.8000,0.7500,0.7500
-0.3000,-13.7000,0.7500,0.7500
-0.3000,-13.6000,0.7500,0.7500
-0.3000,-13.5000,0.7500,0.7500
-0.3000,-13.4000,0.7500,0.7500
-0.3000,-13.3500,0.7500,0.7500
-0.2500,-13.2500,0.7500,0.7500
-0.2500,-13.1500,0.7500,0.7500
-0.2500,-13.0500,0.7500,0.7500
-0.2500,-12.9500,0.7500,0.7500
-0.2000,-12.8500,0.7500,0.7500
-0.2000,-12.8000,0.7500,0.7500
-0.2000,-12.7000,0.7500,0.7500
-0.2000,-12.6000,0.7500,0.7500
-0.2000,-12.5000,0.7500,0.7500
-0.2000,-12.4000,0.7500,0.7500
-0.2000,-12.3000,0.7500,0.7500
-0.2000,-12.2500,0.7500,0.7500
-0.2000,-12.1500,0.7500,0.7500
-0.2000,-12.0500,0.7500,0.7500
-0.2000,-11.9500,0.7500,0.7500
-0.2000,-11.8500,0.7500,0.7500
-0.2000,-11.7500,0.7500,0.7500
-0.2000,-11.7000,0.7500,0.7500
-0.2000,-11.6000,0.7500,0.7500
-0.2000,-11.5000,0.7500,0.7500
-0.2000,-11.4000,0.7500,0.7500
-0.2000,-11.3000,0.7500,0.7500
-0.2000,-11.2000,0.7500,0.7500
-0.2000,-11.1000,0.7500,0.7500
-0.2000,-11.0500,0.7500,0.7500
-0.2000,-10.9500,0.7500,0.7500
-0.2000,-10.8500,0.7500,0.7500
-0.2000,-10.7500,0.7500,0.7500
-0.1500,-10.6500,0.7500,0.7500
-0.1500,-10.5500,0.7500,0.7500
-0.1500,-10.5000,0.7500,0.7500
-0.1500,-10.4000,0.7500,0.7500
-0.1500,-10.3000,0.7500,0.7500
-0.1500,-10.2000,0.7500,0.7500
-0.1500,-10.1000,0.7500,0.7500
-0.1500,-10.0000,0.7500,0.7500
-0.1500,-9.9500,0.7500,0.7500
-0.1500,-9.8500,0.7500,0.7500
-0.1500,-9.7500,0.7500,0.7500
-0.1500,-9.6500,0.7500,0.7500
-0.1500,-9.5500,0.7500,0.7500
-0.1500,-9.4500,0.7500,0.7500
-0.1500,-9.4000,0.7500,0.7500
-0.1500,-9.3000,0.7500,0.7500
-0.1500,-9.2000,0.7500,0.7500
-0.1500,-9.1000,0.7500,0.7500
-0.1000,-9.0000,0.7500,0.7500
-0.1000,-8.9000,0.7500,0.7500
-0.1000,-8.8500,0.7500,0.7500
-0.1000,-8.7500,0.7500,0.7500
-0.1000,-8.6500,0.7500,0.7500
-0.1000,-8.5500,0.7500,0.7500
-0.1000,-8.4500,0.7500,0.7500
-0.0500,-8.3500,0.7500,0.7500
-0.0500,-8.2500,0.7500,0.7500
-0.0500,-8.2000,0.7500,0.7500
-0.0500,-8.1000,0.7500,0.7500
-0.0500,-8.0000,0.7500,0.7500
-0.0500,-7.9000,0.7500,0.7500
-0.0500,-7.8000,0.7500,0.7500
-0.0500,-7.7000,0.7500,0.7500
-0.0500,-7.6500,0.7500,0.7500
-0.0500,-7.5500,0.7500,0.7500
-0.0500,-7.4500,0.7500,0.7500
-0.0500,-7.3500,0.7500,0.7500
-0.0500,-7.2500,0.7500,0.7500
-0.0500,-7.1500,0.7500,0.7500
-0.0500,-7.1000,0.7500,0.7500
-0.0500,-7.0000,0.7500,0.7500
-0.0500,-6.9000,0.7500,0.7500
-0.0500,-6.8000,0.7500,0.7500
-0.0500,-6.7000,0.7500,0.7500
0.0000,-6.6000,0.7500,0.7500
0.0000,-6.5500,0.7500,0.7500
0.0000,-6.4500,0.7500,0.7500
0.0000,-6.3500,0.7500,0.7500
0.0000,-6.2500,0.7500,0.7500
0.0000,-6.1500,0.7500,0.7500
0.0000,-6.0500,0.7500,0.7500
0.0000,-6.0000,0.7500,0.7500
0.0000,-5.9000,0.7500,0.7500
0.0000,-5.8000,0.7500,0.7500
0.0000,-5.7000,0.7500,0.7500
0.0000,-5.6000,0.7500,0.7500
0.0000,-5.5000,0.7500,0.7500
0.0000,-5.4000,0.7500,0.7500
0.0000,-5.3500,0.7500,0.7500
0.0000,-5.2500,0.7500,0.7500
0.0000,-5.1500,0.7500,0.7500
0.0000,-5.0500,0.7500,0.7500
0.0500,-4.9500,0.7500,0.7500
0.0500,-4.8500,0.7500,0.7500
0.0500,-4.8000,0.7500,0.7500
0.0500,-4.7000,0.7500,0.7500
0.0500,-4.6000,0.7500,0.7500
0.0500,-4.5000,0.7500,0.7500
0.0500,-4.4000,0.7500,0.7500
0.0500,-4.3000,0.7500,0.7500
0.0500,-4.2500,0.7500,0.7500
0.0500,-4.1500,0.7500,0.7500
0.0500,-4.0500,0.7500,0.7500
0.1000,-3.9500,0.7500,0.7500
0.1000,-3.8500,0.7500,0.7500
0.1000,-3.7500,0.7500,0.7500
0.1000,-3.7000,0.7500,0.7500
0.1000,-3.6000,0.7500,0.7500
0.1000,-3.5000,0.7500,0.7500
0.1500,-3.4000,0.7500,0.7500
0.1500,-3.3000,0.7500,0.7500
0.1500,-3.2000,0.7500,0.7500
0.1500,-3.1500,0.7500,0.7500
0.1500,-3.0500,0.7500,0.7500
0.1500,-2.9500,0.7500,0.7500
0.1500,-2.8500,0.7500,0.7500
0.1500,-2.7500,0.7500,0.7500
0.1500,-2.6500,0.7500,0.7500
0.1500,-2.5500,0.7500,0.7500
0.1500,-2.5000,0.7500,0.7500
0.1500,-2.4000,0.7500,0.7500
0.1500,-2.3000,0.7500,0.7500
0.1500,-2.2000,0.7500,0.7500
0.1500,-2.1000,0.7500,0.7500
0.1500,-2.0000,0.7500,0.7500
0.1500,-1.9500,0.7500,0.7500
0.1500,-1.8500,0.7500,0.7500
0.1500,-1.7500,0.7500,0.7500
0.1500,-1.6500,0.7500,0.7500
0.1500,-1.5500,0.7500,0.7500
0.1500,-1.4500,0.7500,0.7500
0.1500,-1.4000,0.7500,0.7500
0.1500,-1.3000,0.7500,0.7500
0.2000,-1.2000,0.7500,0.7500
0.2000,-1.1000,0.7500,0.7500
0.2000,-1.0000,0.7500,0.7500
0.2500,-0.9000,0.7500,0.7500
0.2500,-0.8500,0.7500,0.7500
0.3000,-0.7500,0.7500,0.7500
0.3500,-0.6500,0.7500,0.7500
0.4000,-0.5500,0.7500,0.7500
0.4500,-0.5000,0.7500,0.7500
0.5000,-0.4000,0.7500,0.7500
0.5500,-0.4000,0.7500,0.7500
0.6000,-0.3500,0.7500,0.7500
0.6500,-0.2500,0.7500,0.7500
0.7000,-0.2000,0.7500,0.7500
0.7500,-0.1500,0.7500,0.7500
0.8000,-0.1000,0.7500,0.7500
0.8500,-0.0500,0.7500,0.7500
0.9000,0.0000,0.7500,0.7500
0.9500,0.0000,0.7500,0.7500
1.0500,0.0000,0.7500,0.7500
1.1500,0.0000,0.7500,0.7500
1.2500,0.0000,0.7500,0.7500
1.3500,0.0500,0.7500,0.7500
1.4000,0.0500,0.7500,0.7500
1.5000,0.0500,0.7500,0.7500
1.6000,0.0500,0.7500,0.7500
1.7000,0.0500,0.7500,0.7500
1.8000,0.0500,0.7500,0.7500
